ticker,board
MIRA,PEMANTAUAN KHUSUS
MITI,PENGEMBANGAN
MKPI,PENGEMBANGAN
MLBI,UTAMA
MLIA,UTAMA
MLPL,UTAMA
MLPT,PENGEMBANGAN
MMLP,UTAMA
MNCN,UTAMA
MPMX,UTAMA
MPPA,PENGEMBANGAN
MRAT,PENGEMBANGAN
MREI,UTAMA
MSKY,PENGEMBANGAN
MTDL,UTAMA
MTFN,PEMANTAUAN KHUSUS
MTLA,UTAMA
MTSM,PEMANTAUAN KHUSUS
MYOH,PENGEMBANGAN
MYOR,UTAMA
MYTX,PEMANTAUAN KHUSUS
NELY,PENGEMBANGAN
NIKL,PENGEMBANGAN
NIRO,PENGEMBANGAN
NISP,UTAMA
NOBU,PENGEMBANGAN
NRCA,PEMANTAUAN KHUSUS
OCAP,PEMANTAUAN KHUSUS
OKAS,PENGEMBANGAN
OMRE,PEMANTAUAN KHUSUS
PADI,PENGEMBANGAN
PALM,PENGEMBANGAN
PANR,UTAMA
PANS,UTAMA
PBRX,PEMANTAUAN KHUSUS
PDES,PENGEMBANGAN
PEGE,PENGEMBANGAN
PGAS,UTAMA
PGLI,PENGEMBANGAN
PICO,PENGEMBANGAN
PJAA,PENGEMBANGAN
PKPK,PENGEMBANGAN
PLAS,PEMANTAUAN KHUSUS
PLIN,PEMANTAUAN KHUSUS
PNBN,UTAMA
PNBS,PENGEMBANGAN
PNIN,UTAMA
PNLF,UTAMA
PNSE,PENGEMBANGAN
POLY,PEMANTAUAN KHUSUS
POOL,PEMANTAUAN KHUSUS
PPRO,PEMANTAUAN KHUSUS
PSAB,PENGEMBANGAN
PSDN,PENGEMBANGAN
PSKT,PEMANTAUAN KHUSUS
PTBA,UTAMA
PTIS,PENGEMBANGAN
PTPP,UTAMA
PTRO,UTAMA
PTSN,PENGEMBANGAN
PTSP,PENGEMBANGAN
PUDP,PEMANTAUAN KHUSUS
PWON,UTAMA
PYFA,PENGEMBANGAN
RAJA,UTAMA
RALS,UTAMA
RANC,PENGEMBANGAN
RBMS,PEMANTAUAN KHUSUS
RDTX,PENGEMBANGAN
RELI,PENGEMBANGAN
RICY,PEMANTAUAN KHUSUS
RIGS,PENGEMBANGAN
RIMO,PEMANTAUAN KHUSUS
RODA,PEMANTAUAN KHUSUS
ROTI,PENGEMBANGAN
RUIS,PENGEMBANGAN
SAFE,PENGEMBANGAN
SAME,UTAMA
SCCO,PENGEMBANGAN
SCMA,UTAMA
SCPI,PEMANTAUAN KHUSUS
SDMU,PENGEMBANGAN
SDPC,PENGEMBANGAN
SDRA,PENGEMBANGAN
SGRO,UTAMA
SHID,PENGEMBANGAN
SIDO,UTAMA
SILO,UTAMA
SIMA,PEMANTAUAN KHUSUS
SIMP,UTAMA
SIPD,PEMANTAUAN KHUSUS
SKBM,PENGEMBANGAN
SKLT,PENGEMBANGAN
SKYB,PEMANTAUAN KHUSUS
SMAR,UTAMA
SMBR,UTAMA
SMCB,PEMANTAUAN KHUSUS
SMDM,PENGEMBANGAN
SMDR,UTAMA
SMGR,UTAMA
SMMA,UTAMA
SMMT,PENGEMBANGAN
SMRA,UTAMA
SMRU,PEMANTAUAN KHUSUS
SMSM,UTAMA
SOCI,PENGEMBANGAN
SONA,PENGEMBANGAN
SPMA,PENGEMBANGAN
SQMI,PEMANTAUAN KHUSUS
SRAJ,PENGEMBANGAN
SRIL,PEMANTAUAN KHUSUS
SRSN,PENGEMBANGAN
SRTG,UTAMA
SSIA,UTAMA
SSMS,UTAMA
SSTM,PENGEMBANGAN
STAR,PEMANTAUAN KHUSUS
STTP,PENGEMBANGAN
SUGI,PEMANTAUAN KHUSUS
SULI,PENGEMBANGAN
SUPR,PEMANTAUAN KHUSUS
TALF,PENGEMBANGAN
TARA,PEMANTAUAN KHUSUS
TAXI,PEMANTAUAN KHUSUS
TBIG,UTAMA
TBLA,UTAMA
TBMS,PENGEMBANGAN
TCID,PENGEMBANGAN
TELE,PEMANTAUAN KHUSUS
TFCO,PEMANTAUAN KHUSUS
TGKA,PENGEMBANGAN
TIFA,PENGEMBANGAN
TINS,UTAMA
TIRA,PENGEMBANGAN
TIRT,PEMANTAUAN KHUSUS
TKIM,UTAMA
TLKM,UTAMA
TMAS,UTAMA
TMPO,PENGEMBANGAN
TOBA,UTAMA
TOTL,UTAMA
TOTO,PENGEMBANGAN
TOWR,UTAMA
TPIA,PENGEMBANGAN
TPMA,UTAMA
TRAM,PEMANTAUAN KHUSUS
TRIL,PEMANTAUAN KHUSUS
TRIM,UTAMA
TRIO,PEMANTAUAN KHUSUS
TRIS,PENGEMBANGAN
TRST,PENGEMBANGAN
TRUS,PENGEMBANGAN
TSPC,UTAMA
ULTJ,UTAMA
UNIC,UTAMA
UNIT,PENGEMBANGAN
UNSP,PEMANTAUAN KHUSUS
UNTR,UTAMA
UNVR,UTAMA
VICO,UTAMA
VINS,PENGEMBANGAN
VIVA,PEMANTAUAN KHUSUS
VOKS,PENGEMBANGAN
VRNA,PENGEMBANGAN
WAPO,PENGEMBANGAN
WEHA,PENGEMBANGAN
WICO,PEMANTAUAN KHUSUS
WIIM,UTAMA
WIKA,PEMANTAUAN KHUSUS
WINS,UTAMA
WOMF,PENGEMBANGAN
WSKT,PEMANTAUAN KHUSUS
WTON,UTAMA
YPAS,PENGEMBANGAN
YULE,PENGEMBANGAN
ZBRA,PEMANTAUAN KHUSUS
SHIP,UTAMA
CASA,PENGEMBANGAN
DAYA,PENGEMBANGAN
DPUM,PENGEMBANGAN
IDPR,PENGEMBANGAN
JGLE,PEMANTAUAN KHUSUS
KINO,PENGEMBANGAN
MARI,PEMANTAUAN KHUSUS
MKNT,PEMANTAUAN KHUSUS
MTRA,PEMANTAUAN KHUSUS
OASA,PENGEMBANGAN
POWR,UTAMA
INCF,PEMANTAUAN KHUSUS
WSBP,PEMANTAUAN KHUSUS
PBSA,PENGEMBANGAN
PRDA,UTAMA
BOGA,PENGEMBANGAN
BRIS,UTAMA
PORT,PENGEMBANGAN
CARS,UTAMA
MINA,PENGEMBANGAN
CLEO,UTAMA
TAMU,PEMANTAUAN KHUSUS
CSIS,PENGEMBANGAN
TGRA,PEMANTAUAN KHUSUS
FIRE,PENGEMBANGAN
TOPS,PEMANTAUAN KHUSUS
KMTR,PENGEMBANGAN
